timestamp,hr,spo2,temp,acc_x,acc_y,acc_z
14:49:19,82,99,34.67,0.98,-0.02,0.21,4.5
14:49:19,79,97,34.48,0.99,-0.02,0.22,4.5
14:49:19,82,97,34.48,0.98,-0.02,0.21,4.5
14:49:19,82,97,34.62,0.99,-0.02,0.21,4.5
14:49:19,83,97,34.62,0.98,-0.02,0.22,4.5
14:49:19,80,99,34.62,0.99,-0.02,0.21,4.5
14:49:19,80,99,34.48,0.98,-0.02,0.21,4.5
14:49:19,80,98,34.48,0.99,-0.02,0.21,4.5
14:49:19,80,97,34.62,0.98,-0.02,0.21,4.5
14:49:19,82,97,34.67,0.98,-0.02,0.21,4.5
14:49:19,82,99,34.72,0.98,-0.02,0.21,4.5
14:49:19,80,98,34.53,0.99,-0.02,0.21,4.5
14:49:19,83,98,34.72,0.98,-0.02,0.22,4.5
14:49:20,83,99,34.53,0.99,-0.02,0.21,4.5
14:49:20,82,97,34.48,0.98,-0.02,0.21,4.5
14:49:20,81,99,34.72,0.99,-0.02,0.21,4.5
14:49:20,83,98,34.53,0.99,-0.02,0.21,4.5
14:49:20,84,99,34.67,0.98,-0.02,0.21,4.5
14:49:20,84,97,34.48,0.99,-0.02,0.21,4.5
14:49:20,83,99,34.44,0.99,-0.02,0.21,4.5
14:49:20,81,99,34.67,0.99,-0.02,0.21,4.5
14:49:20,85,98,34.72,0.99,-0.02,0.21,4.5
14:49:20,85,99,34.44,0.98,-0.02,0.21,4.5
14:49:20,81,97,34.48,0.99,-0.02,0.22,4.5
14:49:20,82,97,34.62,0.98,-0.02,0.22,4.5
14:49:20,82,99,34.34,0.99,-0.02,0.21,4.5
14:49:20,84,99,34.48,0.99,-0.02,0.21,4.5
14:49:20,83,99,34.72,0.99,-0.02,0.22,4.5
14:49:20,84,97,34.72,0.98,-0.02,0.21,4.5
14:49:20,82,98,34.34,0.99,-0.02,0.22,4.5
14:49:20,81,98,34.62,0.99,-0.02,0.22,4.5
14:49:21,84,97,34.48,0.99,-0.02,0.21,4.5
14:49:21,84,99,34.44,0.99,-0.02,0.21,4.5
14:49:21,84,99,34.72,0.98,-0.02,0.22,4.5
